,Unnamed: 0,model,year,target,predictor,values
149,490864,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi2-TM.VAL.MRCH.RS.ZS,0.0151640347483675
150,490620,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-BX.GSR.INSF.ZS,0.4461021772278418
151,490649,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-EN.ATM.METH.KT.CE,0.090024054074093
152,490704,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi2-SP.RUR.TOTL.ZS,0.060006620738663
153,490707,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi2-SP.URB.TOTL.IN.ZS,0.0475325636250095
154,490645,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-EN.ATM.GHGO.KT.CE,0.0356178021189902
155,490725,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi2-TX.VAL.TRVL.ZS.WT,0.0326334135420202
156,490624,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-BX.GSR.TRVL.ZS,0.0277564049895534
157,490709,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi2-TM.VAL.INSF.ZS.WT,0.0224815345949144
158,490597,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-BM.GSR.INSF.ZS,0.0224536664476071
159,490648,etr,2020,wdi2-TX.VAL.INSF.ZS.WT,wdi-EN.ATM.METH.EG.KT.CE,0.0186246390639244
160,490523,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi2-NY.GDP.MKTP.KD,0.0523273384661227
161,490488,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi-EN.ATM.CO2E.KT,0.0453578268776072
162,490495,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi-EN.ATM.GHGT.KT.CE,0.0403280474307552
163,490485,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi-DT.ODA.ODAT.PC.ZS,0.0373094783005278
164,490556,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi2-SP.URB.TOTL.IN.ZS,0.0354268407834557
165,490508,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi-IT.MLT.MAIN.P2,0.033687868827337
166,490507,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi-IT.MLT.MAIN,0.0323744741955019
167,490553,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi2-SP.RUR.TOTL.ZS,0.0281751935503275
168,490550,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,wdi2-SP.POP.GROW,0.0269085405525766
169,490427,etr,2020,wdi2-TX.VAL.FOOD.ZS.UN,key-wdi-DT.ODA.ODAT.PC.ZS,0.0257834626241635
170,490368,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-NY.GDP.FRST.RT.ZS,0.6723903232542254
171,490393,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-SE.SEC.DURS,0.0342818122760932
172,490357,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi-IT.MLT.MAIN.P2,0.0277022521745409
173,490403,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-SP.URB.GROW,0.0228716867534395
174,490346,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi-EN.ATM.METH.EG.KT.CE,0.0195936952958045
175,490339,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi-EN.ATM.CO2E.LF.ZS,0.0146786584282306
176,490314,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi-BX.GRT.TECH.CD.WD,0.0121960175765014
177,490380,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-NY.GDP.TOTL.RT.ZS,0.0094824615460751
178,490419,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-TX.VAL.MRCH.HI.ZS,0.0088913376766474
179,490361,etr,2020,wdi2-TX.VAL.AGRI.ZS.UN,wdi2-NY.ADJ.DKAP.GN.ZS,0.0080187538652224
180,490132,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,key-wdi2-NY.GDP.PCAP.CD,0.1633290361130667
181,490226,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-NY.GDP.PCAP.KD,0.1431020055969403
182,490224,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-NY.GDP.PCAP.CD,0.1275983097297754
183,490206,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi-IT.MLT.MAIN.P2,0.0853236674382855
184,490243,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-SP.DYN.CBRT.IN,0.0385483882272484
185,490250,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-SP.RUR.TOTL,0.0352115383074519
186,490251,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-SP.RUR.TOTL.ZS,0.0238742898173315
187,490135,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi-AG.LND.AGRI.ZS,0.0214498356062752
188,490163,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi-BX.GRT.TECH.CD.WD,0.0177038395845923
189,490242,etr,2020,wdi2-TX.MNF.TECH.ZS.UN,wdi2-SE.SEC.DURS,0.0156173119344827
190,490112,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-TM.VAL.OTHR.ZS.WT,0.126934654274447
191,490066,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-NY.GDP.FRST.RT.ZS,0.0933174384434912
192,490085,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-PA.NUS.FCRF,0.0475701375218172
193,490093,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-SP.DYN.CDRT.IN,0.0352957797440302
194,489987,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi-AG.LND.ARBL.ZS,0.0300096340829164
195,490084,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-PA.NUS.ATLS,0.0288332330023884
196,489982,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,key-wdi2-SP.POP.TOTL,0.0280575945729159
197,490098,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-SP.POP.TOTL,0.022869152721265
