,feature indicator,feature importance,predicted indicator
23180,wdi2-TM.VAL.OTHR.ZS.WT,0.078427584037552,ssi-12
23181,wdi2-NV.SRV.TOTL.CN,0.1171488114484953,ssi-12
23182,unicef-d14,0.0847028715125077,ssi-12
23183,wdi2-NE.GDI.FTOT.KD.ZG,0.1082421688255148,ssi-12
23184,ssi-9,0.0580459998988562,ssi-12
23185,wdi-BX.TRF.PWKR.DT.GD.ZS,0.206192679325064,ssi-12
23186,wdi2-SP.POP.6569.FE.5Y,0.0855906668275437,ssi-12
23187,ohi-eco-status,0.1561249200368751,ssi-12
23188,unicef-m1,0.0607835997271018,ssi-12
23189,unicef-m12,0.0447406983604892,ssi-12
23630,itu-icta,0.0527048461782431,ssi-6
23631,wdi2-NE.GDI.FPRV.ZS,0.147218096170595,ssi-6
23632,wdi2-SP.POP.65UP.MA.ZS,0.1348304543361607,ssi-6
23633,mvi-ldc-AIN-Index,0.0393577096039627,ssi-6
23634,ssi-ecwi,0.0369425301659268,ssi-6
23635,ldc-XCON-Value,0.0385501496606991,ssi-6
23636,wdi2-SP.POP.7579.FE.5Y,0.1804388441686114,ssi-6
23637,wdi2-NY.GNP.MKTP.KN,0.0561183233361138,ssi-6
23638,wdi2-SP.POP.7579.MA.5Y,0.2075144733059643,ssi-6
23639,irena-mr-inv-all,0.1063245730737229,ssi-6
23720,epi-CDA,0.0609538374463873,ssi-18
23721,wdi2-TM.VAL.MRCH.CD.WT,0.0197858213206805,ssi-18
23722,unicef-a2,0.1680483233700515,ssi-18
23723,unicef-wash5,0.0308649851971731,ssi-18
23724,ssi-t,0.1204908504257373,ssi-18
23725,ohi-cp-status,0.0649976922228833,ssi-18
23726,wdi2-NY.GDP.MKTP.PP.CD,0.0512473121181414,ssi-18
23727,unicef-ncwh3,0.2270251955349877,ssi-18
23728,wdi2-NE.CON.PRVT.PP.CD,0.0767530101501119,ssi-18
23729,ohi-cs-future,0.1798329722138456,ssi-18
23990,wdi-BN.KAC.EOMS.CD,0.0508956365991137,ssi-4
23991,unicef-ch6,0.1025975985713659,ssi-4
23992,wdi2-NV.IND.MANF.ZS,0.1818522795831899,ssi-4
23993,itu-gci-rank,0.1063929311396424,ssi-4
23994,wdi-BM.GSR.NFSV.CD,0.1089259115423905,ssi-4
23995,wdi-BM.GSR.TOTL.CD,0.0756057880288828,ssi-4
23996,wdi-FI.RES.TOTL.CD,0.0639089798078506,ssi-4
23997,itu-mmpo,0.1527890046952185,ssi-4
23998,unicef-d10,0.1178366121165277,ssi-4
23999,wdi-FM.AST.NFRG.CN,0.0391952579158174,ssi-4
24100,ohi-ico-trend,0.0513173840143624,ssi-15
24101,unicef-ch9,0.1542339554500299,ssi-15
24102,egov-osi,0.1500003426357105,ssi-15
24103,wdi2-NE.CON.GOVT.KN,0.0853765092607322,ssi-15
24104,wdi-FI.RES.TOTL.CD,0.0760085378070677,ssi-15
24105,ohi-ao-score,0.138736556550579,ssi-15
24106,wdi2-NV.SRV.TOTL.KN,0.0675341452224173,ssi-15
24107,itu-mmpo,0.1478341342777413,ssi-15
24108,ohi-hab-future,0.0533693142637248,ssi-15
24109,unicef-m17,0.0755891205176346,ssi-15
24170,unicef-m3,0.0519183944221819,ssi-11
24171,unicef-m5,0.0198946784267707,ssi-11
24172,unicef-m2,0.3228964126058392,ssi-11
24173,wdi-BN.KLT.PTXL.CD,0.119244094327057,ssi-11
24174,unicef-d11,0.0214552921070394,ssi-11
24175,wdi2-SP.POP.6569.FE.5Y,0.0269150207296783,ssi-11
24176,wdi2-SP.POP.2024.FE.5Y,0.1859891274675356,ssi-11
24177,wdi2-TX.VAL.SERV.CD.WT,0.0980178941553647,ssi-11
24178,ssi-2,0.0096882195650068,ssi-11
24179,wdi-EN.URB.MCTY.TL.ZS,0.143980866193526,ssi-11
24800,itu-miu,0.087861211633578,ssi-7
24801,unicef-ah9,0.0617283950617284,ssi-7
24802,ohi-lsp-resilience,0.1190951019373818,ssi-7
24803,egov-osi,0.1190951019373818,ssi-7
24804,wdi2-NE.CON.TOTL.CN,0.1031271202848404,ssi-7
24805,unicef-a2,0.1379833132288399,ssi-7
24806,wdi2-NY.GNP.MKTP.CN.AD,0.1074888084709153,ssi-7
24807,wdi2-NV.IND.MANF.KD.ZG,0.0515635601424202,ssi-7
24808,ssi-9,0.074074074074074,ssi-7
24809,wdi-FM.AST.PRVT.ZG.M3,0.1379833132288399,ssi-7
24810,wdi2-NE.GDI.STKB.KN,0.0623132277459544,ssi-21
24811,unicef-wash8,0.1358024691358024,ssi-21
24812,wdi2-NE.DAB.TOTL.CN,0.1828458544482809,ssi-21
24813,ldc-U5M-Index,0.0852500877179676,ssi-21
24814,wdi2-NE.DAB.TOTL.KD,0.0628980604301805,ssi-21
24815,wdi2-NY.EXP.CAPM.KN,0.0999350974672175,ssi-21
24816,egov-tii,0.1093566130584329,ssi-21
24817,wdi-FM.LBL.BMNY.CN,0.0864197530864197,ssi-21
24818,wdi-HD.HCI.OVRL.UB.FE,0.0993502647829914,ssi-21
24819,ohi-cw-trend,0.0758285721267522,ssi-21
